INFO: 2021-06-08 22:36:18,523: Train RF
INFO: 2021-06-08 22:48:25,545: The rmse for RF: 0.863
INFO: 2021-06-08 22:48:25,549: -------------------------------
INFO: 2021-06-09 10:08:46,142: Train XGB
INFO: 2021-06-09 10:08:46,142: Train XGB
INFO: 2021-06-09 10:09:00,580: The rmse for XGB: 0.890
INFO: 2021-06-09 10:09:00,580: The rmse for XGB: 0.890
INFO: 2021-06-09 10:09:00,582: -------------------------------
INFO: 2021-06-09 10:09:00,582: -------------------------------
INFO: 2021-06-09 10:12:22,488: Train GBR
INFO: 2021-06-09 10:12:23,005: The rmse for GBR: 0.830
INFO: 2021-06-09 10:12:23,006: -------------------------------
INFO: 2021-06-09 10:25:04,101: Train GBR ('max_depth': 4, 'n_estimators': 50)
INFO: 2021-06-09 10:25:05,131: The rmse for GBR: 0.842
INFO: 2021-06-09 10:25:05,135: -------------------------------
INFO: 2021-06-09 10:27:36,180: Train GBR ('max_depth': 4, 'n_estimators': 150)
INFO: 2021-06-09 10:27:37,906: The rmse for GBR: 0.842
INFO: 2021-06-09 10:27:37,909: -------------------------------
INFO: 2021-06-09 10:51:00,508: Train GBR
INFO: 2021-06-09 10:51:15,869: Train GBR
INFO: 2021-06-09 10:57:55,780: Train GBR
INFO: 2021-06-09 10:58:45,050: Train GBR
INFO: 2021-06-09 10:58:48,281: The rmse for GBR iteration 0: 0.836
INFO: 2021-06-09 10:58:48,282: -------------------------------
INFO: 2021-06-09 10:58:51,314: The rmse for GBR iteration 1: 0.845
INFO: 2021-06-09 10:58:51,315: -------------------------------
INFO: 2021-06-09 10:58:54,342: The rmse for GBR iteration 2: 0.846
INFO: 2021-06-09 10:58:54,343: -------------------------------
INFO: 2021-06-09 10:58:57,436: The rmse for GBR iteration 3: 0.803
INFO: 2021-06-09 10:58:57,437: -------------------------------
INFO: 2021-06-09 10:59:00,531: The rmse for GBR iteration 4: 0.844
INFO: 2021-06-09 10:59:00,532: -------------------------------
INFO: 2021-06-09 10:59:03,587: The rmse for GBR iteration 5: 0.797
INFO: 2021-06-09 10:59:03,588: -------------------------------
INFO: 2021-06-09 10:59:06,868: The rmse for GBR iteration 6: 0.820
INFO: 2021-06-09 10:59:06,869: -------------------------------
INFO: 2021-06-09 10:59:09,983: The rmse for GBR iteration 7: 0.857
INFO: 2021-06-09 10:59:09,984: -------------------------------
INFO: 2021-06-09 10:59:13,136: The rmse for GBR iteration 8: 0.861
INFO: 2021-06-09 10:59:13,137: -------------------------------
INFO: 2021-06-09 10:59:16,299: The rmse for GBR iteration 9: 0.830
INFO: 2021-06-09 10:59:16,300: -------------------------------
INFO: 2021-06-09 12:39:24,885: Train SVR
INFO: 2021-06-09 12:39:25,045: Train SVR
INFO: 2021-06-09 12:39:29,543: The rmse for SVR iteration 0: 0.903
INFO: 2021-06-09 12:39:29,544: -------------------------------
INFO: 2021-06-09 12:39:32,714: The rmse for SVR iteration 1: 0.915
INFO: 2021-06-09 12:39:32,715: -------------------------------
INFO: 2021-06-09 12:39:36,290: The rmse for SVR iteration 2: 0.910
INFO: 2021-06-09 12:39:36,291: -------------------------------
INFO: 2021-06-09 12:39:39,521: The rmse for SVR iteration 3: 0.934
INFO: 2021-06-09 12:39:39,522: -------------------------------
INFO: 2021-06-09 12:39:42,822: The rmse for SVR iteration 4: 0.908
INFO: 2021-06-09 12:39:42,823: -------------------------------
INFO: 2021-06-09 12:39:46,115: The rmse for SVR iteration 5: 0.919
INFO: 2021-06-09 12:39:46,116: -------------------------------
INFO: 2021-06-09 12:39:49,435: The rmse for SVR iteration 6: 0.922
INFO: 2021-06-09 12:39:49,436: -------------------------------
INFO: 2021-06-09 12:39:52,889: The rmse for SVR iteration 7: 0.912
INFO: 2021-06-09 12:39:52,890: -------------------------------
INFO: 2021-06-09 12:39:56,232: The rmse for SVR iteration 8: 0.902
INFO: 2021-06-09 12:39:56,233: -------------------------------
INFO: 2021-06-09 12:39:59,776: The rmse for SVR iteration 9: 0.914
INFO: 2021-06-09 12:39:59,777: -------------------------------
INFO: 2021-06-09 14:10:07,545: Train GBR ('max_depth': 4, 'n_estimators': 150)
INFO: 2021-06-09 14:10:29,407: Train GBR with stopwords
INFO: 2021-06-09 14:10:35,093: The rmse for GBR iteration 0: 0.779
INFO: 2021-06-09 14:10:35,094: -------------------------------
INFO: 2021-06-09 14:10:39,534: The rmse for GBR iteration 1: 0.789
INFO: 2021-06-09 14:10:39,535: -------------------------------
INFO: 2021-06-09 14:10:44,104: The rmse for GBR iteration 2: 0.779
INFO: 2021-06-09 14:10:44,105: -------------------------------
INFO: 2021-06-09 14:10:48,576: The rmse for GBR iteration 3: 0.765
INFO: 2021-06-09 14:10:48,577: -------------------------------
INFO: 2021-06-09 14:10:53,152: The rmse for GBR iteration 4: 0.804
INFO: 2021-06-09 14:10:53,154: -------------------------------
INFO: 2021-06-09 14:10:57,976: The rmse for GBR iteration 5: 0.751
INFO: 2021-06-09 14:10:57,977: -------------------------------
INFO: 2021-06-09 14:11:03,336: The rmse for GBR iteration 6: 0.767
INFO: 2021-06-09 14:11:03,337: -------------------------------
INFO: 2021-06-09 14:11:08,142: The rmse for GBR iteration 7: 0.783
INFO: 2021-06-09 14:11:08,143: -------------------------------
INFO: 2021-06-09 14:11:13,136: The rmse for GBR iteration 8: 0.812
INFO: 2021-06-09 14:11:13,137: -------------------------------
INFO: 2021-06-09 14:11:18,114: The rmse for GBR iteration 9: 0.802
INFO: 2021-06-09 14:11:18,115: -------------------------------
INFO: 2021-06-09 14:16:22,556: Train GBR with stopwords and se
INFO: 2021-06-09 14:16:28,296: The rmse for GBR iteration 0: 0.853
INFO: 2021-06-09 14:16:28,296: -------------------------------
INFO: 2021-06-09 14:16:32,716: The rmse for GBR iteration 1: 0.866
INFO: 2021-06-09 14:16:32,716: -------------------------------
INFO: 2021-06-09 14:16:37,761: The rmse for GBR iteration 2: 0.824
INFO: 2021-06-09 14:16:37,762: -------------------------------
INFO: 2021-06-09 14:16:42,402: The rmse for GBR iteration 3: 0.817
INFO: 2021-06-09 14:16:42,403: -------------------------------
INFO: 2021-06-09 14:16:47,139: The rmse for GBR iteration 4: 0.866
INFO: 2021-06-09 14:16:47,140: -------------------------------
INFO: 2021-06-09 14:16:51,943: The rmse for GBR iteration 5: 0.849
INFO: 2021-06-09 14:16:51,944: -------------------------------
INFO: 2021-06-09 14:16:56,859: The rmse for GBR iteration 6: 0.850
INFO: 2021-06-09 14:16:56,860: -------------------------------
INFO: 2021-06-09 14:17:02,356: The rmse for GBR iteration 7: 0.826
INFO: 2021-06-09 14:17:02,356: -------------------------------
INFO: 2021-06-09 14:17:09,363: The rmse for GBR iteration 8: 0.850
INFO: 2021-06-09 14:17:09,364: -------------------------------
INFO: 2021-06-09 14:17:15,509: The rmse for GBR iteration 9: 0.858
INFO: 2021-06-09 14:17:15,510: -------------------------------
INFO: 2021-06-09 14:23:15,853: Train RF
INFO: 2021-06-09 14:23:27,086: The rmse for RF iteration 0: 0.916
INFO: 2021-06-09 14:23:27,087: -------------------------------
INFO: 2021-06-09 14:23:37,331: The rmse for RF iteration 1: 0.941
INFO: 2021-06-09 14:23:37,332: -------------------------------
INFO: 2021-06-09 14:23:47,851: The rmse for RF iteration 2: 0.889
INFO: 2021-06-09 14:23:47,851: -------------------------------
INFO: 2021-06-09 14:23:59,005: The rmse for RF iteration 3: 0.881
